gas_refractive_index,peak_index,transmission_peak,m_float,m_center,m,lambda_find_peaks_um,lambda_exact_um,difference_um,difference_nm
1.0,135,0.9999791344391395,56.001454007574964,56,56,1.5639810426540284,1.56386716541497,0.00011387723905831315,0.11387723905831315
1.001,146,0.9999822857043635,56.00133971788055,56,56,1.5694356372859861,1.56932757278074,0.0001080645052460305,0.1080645052460305
1.002,152,0.9999604783194107,56.002001108745496,56,56,1.5724269377382465,1.57226302276572,0.00016391497252654652,0.16391497252654652
1.003,158,0.999961459828236,56.001976103739075,56,56,1.5754296626352644,1.57526528493197,0.00016437770329447154,0.16437770329447154
1.004,164,0.9999841321763587,56.001267972861314,56,56,1.5784438775510203,1.57833676756531,0.00010710998571039632,0.10710998571039632
1.005,170,0.999999858620218,55.9998803138791,56,56,1.5814696485623003,1.58147992279667,1.0274234369722635e-05,0.010274234369722635
1.006,176,0.9999529699735826,55.997817063297596,56,56,1.584507042253521,1.58469732531177,0.0001902830582489745,0.1902830582489745
1.007,183,0.9999930918672945,56.00083662524123,56,56,1.588065447545717,1.5879913739211,7.407362461697709e-05,0.07407362461697709
1.008,189,0.9999318130339637,55.99737151352617,56,56,1.5911282545805208,1.59136467371693,0.0002364191364092605,0.2364191364092605
1.009,196,0.9999874247741345,55.99887122096488,56,56,1.594716494845361,1.59481964759068,0.00010315274531902396,0.10315274531902396
