ri,m,lambda_find_peaks_um,lambda_exact_um,peak_correction_nm,delta_neff,delta_ng,waveguide_sensitivity,sensitivity_shift_nm_per_riu,sensitivity_formula_nm_per_riu,fwhm_nm,fsr_nm,fsr_adjacent_order,fom_riu_inv,sensitivity_central_nm_per_riu
1.0,56,1.5639810426540284,1.56386716541497,0.11387723905831315,0.8757656126323842,-0.3122180909075964,nan,nan,nan,39.13294859596683,84.25487527790088,57,nan,nan
1.001,56,1.5694356372859861,1.56932757278074,0.1080645052460305,0.8788234407572145,-0.3052704025974679,1.085020714499046,5460.407365770628,5577.851340363567,40.2885070291954,nan,,138.44770510660845,4197.928675374937
1.002,56,1.5724269377382465,1.57226302276572,0.16391497252654652,0.8804672927488031,-0.30177800693712287,0.5696298161564246,2935.4499849795257,2967.770599645409,40.89787400186506,71.99412150474971,55,72.56540033132457,2968.8560756149204
1.003,56,1.5754296626352644,1.57526528493197,0.16437770329447154,0.8821485595619023,-0.29830583317826803,0.5748826355031093,3002.262166250322,3035.785954869557,41.52144091310195,73.04427388334611,55,73.11369471071572,3036.872399794996
1.004,56,1.5784438775510203,1.57833676756531,0.10710998571039632,0.8838685898365733,-0.29486069109180624,0.5802986172489965,3071.4826333396622,3106.2351525392996,42.15844597753971,74.12901765322077,55,73.68002023115783,3107.3189323500533
1.005,56,1.5814696485623003,1.58147992279667,0.010274234369722635,0.8856287567661392,-0.2914501519149551,0.585886544697813,3143.1552313604525,3179.163920102113,42.80824378721459,75.24959756778316,55,74.26522648078415,3180.278873230022
1.006,56,1.584507042253521,1.58469732531177,0.1902830582489745,0.8874305021745916,-0.2880826049992918,0.5916562894489544,3217.402515099583,3254.6086543335355,43.46974282530902,76.40728626925974,55,74.87066733780243,3255.725562214981
1.007,56,1.588065447545717,1.5879913739211,0.07407362461697709,0.8892751693958153,-0.2847687037383447,0.5976170800046299,3294.0486093303875,3332.56694115956,44.141528856088016,77.60295612548384,55,75.49731573694532,3333.674202580014
1.008,56,1.5911282545805208,1.59136467371693,0.2364191364092605,0.8911642172814814,-0.28151850561631725,0.6037800705415206,3373.299795829632,3413.041259403448,44.82186952778289,78.83779476846043,55,76.14678493693509,3414.1368347899684
1.009,56,1.594716494845361,1.59481964759068,0.10315274531902396,0.89309900265078,-0.2783458301884588,0.6101559355428708,3454.973873750314,3495.97000766635,45.508641104811566,80.1126702954349,55,76.81991645531085,nan
