gas_refractive_index,lambda_exact_um,m,sensitivity_um_per_RIU
1.0,1.56386716541497,56,
1.001,1.56932757278074,56,5.460407365770627
1.002,1.57226302276572,56,2.9354499849795257
1.003,1.57526528493197,56,3.0022621662503224
1.004,1.57833676756531,56,3.071482633339662
1.005,1.58147992279667,56,3.1431552313604527
1.006,1.58469732531177,56,3.217402515099583
1.007,1.5879913739211,56,3.2940486093303876
1.008,1.59136467371693,56,3.373299795829632
1.009,1.59481964759068,56,3.454973873750314
