gas_refractive_index,m,lambda_res_um,delta_neff,fsr_um,fsr_nm
1.0,56,1.56386716541497,0.8757656126323842,0.02792619938241015,27.92619938241015
1.001,56,1.56932757278074,0.8788234407572145,0.02802370665679893,28.02370665679893
1.002,56,1.57226302276572,0.8804672927488031,0.028076125406530716,28.076125406530714
1.003,56,1.57526528493197,0.8821485595619023,0.02812973723092806,28.12973723092806
1.004,56,1.57833676756531,0.8838685898365733,0.02818458513509483,28.184585135094828
1.005,56,1.58147992279667,0.8856287567661392,0.028240712907083267,28.240712907083267
1.006,56,1.58469732531177,0.8874305021745916,0.028298166523424453,28.298166523424452
1.007,56,1.5879913739211,0.8892751693958153,0.028356988820019663,28.356988820019662
1.008,56,1.59136467371693,0.8911642172814814,0.028417226316373733,28.417226316373732
1.009,56,1.59481964759068,0.89309900265078,0.028478922278405025,28.478922278405026
