gas_refractive_index,peak_index,m,lambda_find_peaks_um,lambda_exact_um,peak_correction_nm,delta_neff_at_resonance,swg_sensor,swg_reference,delta_lambda_um,delta_ri,sensitivity_shift_um_per_RIU,sensitivity_current_lambda_um_per_RIU,sensitivity_previous_lambda_um_per_RIU
1.0,135,56,1.5639810426540284,1.56386716541497,0.11387723905831315,0.8757656126323842,nan,0.0,nan,nan,nan,nan,nan
1.001,146,56,1.5694356372859861,1.56932757278074,0.1080645052460305,0.8788234407572145,1.085020714499046,0.0,0.005460407365770026,0.0009999999999998899,5.460407365770627,1.9375369901768678,1.9307954140801276
1.002,152,56,1.5724269377382465,1.57226302276572,0.16391497252654652,0.8804672927488031,0.5696298161564246,0.0,0.0029354499849798543,0.001000000000000112,2.9354499849795257,1.0171961002793297,1.015296972567203
1.003,158,56,1.5754296626352644,1.57526528493197,0.16437770329447154,0.8821485595619023,0.5748826355031093,0.0,0.0030022621662499915,0.0009999999999998899,3.0022621662503224,1.0265761348269817,1.0246196067933564
1.004,164,56,1.5784438775510203,1.57833676756531,0.10710998571039632,0.8838685898365733,0.5802986172489965,0.0,0.003071482633340006,0.001000000000000112,3.071482633339662,1.0362475308017798,1.0342309673153895
1.005,170,56,1.5814696485623003,1.58147992279667,0.010274234369722635,0.8856287567661392,0.585886544697813,0.0,0.0031431552313601063,0.0009999999999998899,3.1431552313604527,1.0462259726746614,1.0441466224459326
1.006,176,56,1.584507042253521,1.58469732531177,0.1902830582489745,0.8874305021745916,0.5916562894489544,0.0,0.003217402515099943,0.001000000000000112,3.217402515099583,1.0565290883017038,1.054384022937055
1.007,183,56,1.588065447545717,1.5879913739211,0.07407362461697709,0.8892751693958153,0.5976170800046299,0.0,0.0032940486093300247,0.0009999999999998899,3.2940486093303876,1.0671733571511257,1.064959666969448
1.008,189,56,1.5911282545805208,1.59136467371693,0.2364191364092605,0.8911642172814814,0.6037800705415206,0.0,0.0033732997958300093,0.001000000000000112,3.373299795829632,1.0781786973955718,1.0758932250334778
1.009,196,56,1.594716494845361,1.59481964759068,0.10315274531902396,0.89309900265078,0.6101559355428708,0.0,0.0034549738737499336,0.0009999999999998899,3.454973873750314,1.0895641706122703,1.0872037684508558
