range,ri_min,ri_max,number_of_points,sensitivity_linear_um_per_RIU,intercept_um,r2,mean_fwhm_um,mean_fwhm_nm,fom_linear_RIU_inv,mean_implicit_sensitivity_um_per_RIU,fom_implicit_RIU_inv
1.000-1.009,1.0,1.009,10,3.2903822926204866,-1.725247737257693,0.9967878525370377,0.008980552279261462,8.980552279261461,366.38974868158994,3.4847717264567755,388.0353477262263
1.002-1.009,1.002,1.009,8,3.2211254676427616,-1.6555644053897776,0.9994513724632728,0.008999514321160026,8.999514321160026,357.9221447616478,3.2231375423063247,358.1457206782762
