gas_refractive_index,m,lambda_exact_um,fwhm_um,fwhm_nm,s_shift,s_lt_simple,s_implicit,fom_shift,fom_simple,fom_implicit
1.0,56,1.56386716541497,0.00888918534696082,8.88918534696082,nan,nan,nan,nan,nan,nan
1.001,56,1.56932757278074,0.008920222876373604,8.920222876373604,5.460407365770627,-1.9375369901768678,5.577845199660382,612.1379971607258,217.2072398895651,625.3033446545429
1.002,56,1.57226302276572,0.008936908282634626,8.936908282634626,2.9354499849795257,-1.0171961002793297,2.967765538410568,328.46370267483,113.8196866421748,332.07966833197287
1.003,56,1.57526528493197,0.008953973456356651,8.953973456356652,3.0022621662503224,-1.0265761348269817,3.0357805222730128,335.29942666056724,114.65034376421895,339.0428324441632
1.004,56,1.57833676756531,0.008971432086489393,8.971432086489393,3.071482633339662,-1.0362475308017798,3.1062312970090047,342.36257976752546,115.50525276363913,346.2358369392174
1.005,56,1.58147992279667,0.008989298111202783,8.989298111202784,3.1431552313604527,-1.0462259726746614,3.179163358390175,349.65524476747976,116.38572441721756,353.6609109033984
1.006,56,1.58469732531177,0.009007586165281193,9.007586165281193,3.217402515099583,-1.0565290883017038,3.2546009606653485,357.1880919108748,117.29325358817944,361.3177715923352
1.007,56,1.5879913739211,0.009026309883815484,9.026309883815484,3.2940486093303876,-1.0671733571511257,3.3325636185023435,364.93856866544564,118.22919563891863,369.20554040336646
1.008,56,1.59136467371693,0.009045484074423944,9.045484074423944,3.373299795829632,-1.0781786973955718,3.4130302965950676,372.926398197706,119.19524577397866,377.31870052653034
1.009,56,1.59481964759068,0.009065122509076125,9.065122509076126,3.454973873750314,-1.0895641706122703,3.495964746605077,381.12820541489066,120.19298906566168,385.65002768631854
