gas_refractive_index,m,lambda_res_um,delta_neff,fsr_um,fsr_nm,fwhm_um,fwhm_nm
1.0,56,1.56386716541497,0.8757656126323842,0.02792619938241015,27.92619938241015,0.00888918534696082,8.88918534696082
1.001,56,1.56932757278074,0.8788234407572145,0.02802370665679893,28.02370665679893,0.008920222876373604,8.920222876373604
1.002,56,1.57226302276572,0.8804672927488031,0.028076125406530716,28.076125406530714,0.008936908282634626,8.936908282634626
1.003,56,1.57526528493197,0.8821485595619023,0.02812973723092806,28.12973723092806,0.008953973456356651,8.953973456356652
1.004,56,1.57833676756531,0.8838685898365733,0.02818458513509483,28.184585135094828,0.008971432086489393,8.971432086489393
1.005,56,1.58147992279667,0.8856287567661392,0.028240712907083267,28.240712907083267,0.008989298111202783,8.989298111202784
1.006,56,1.58469732531177,0.8874305021745916,0.028298166523424453,28.298166523424452,0.009007586165281193,9.007586165281193
1.007,56,1.5879913739211,0.8892751693958153,0.028356988820019663,28.356988820019662,0.009026309883815484,9.026309883815484
1.008,56,1.59136467371693,0.8911642172814814,0.028417226316373733,28.417226316373732,0.009045484074423944,9.045484074423944
1.009,56,1.59481964759068,0.89309900265078,0.028478922278405025,28.478922278405026,0.009065122509076125,9.065122509076126
